FantasyPoints,Player,Position,Points,Rebounds,Assists,Blocks, Turnovers
26,Jaren Jackson Jr.\jacksja02,C,14.4,6,1.1,1.6,1.4
18,Isaiah Roby\robyis01,PF,8.7,6,1.8,0.6,1.9
23,Serge Ibaka\ibakase01,C,11.1,7,1.8,1.1,1.1
18,Hamidou Diallo\diallha01,SF,11.2,5,1.2,0.6,1.4
14,Deni Avdija\avdijde01,SF,6.3,5,1.2,0.3,0.6
20,Shake Milton\miltosh01,SG,13.0,2,3.1,0.3,1.6
15,Landry Shamet\shamela01,SG,9.3,2,1.6,0.2,0.8
17,Sviatoslav Mykhailiuk\mykhasv01,SG,10.3,3,1.8,0.2,1.6
19,Cory Joseph\josepco01,PG,8.2,3,3.4,0.3,1.3
20,Reggie Jackson\jacksre01,SG,10.7,3,3.1,0.1,1.1
10,Avery Bradley\bradlav01,SG,5.2,2,1.9,0.1,1.1
24,Montrezl Harrell\harremo01,C,13.5,6,1.1,0.7,1.1
24,Derrick Rose\rosede01,PG,14.2,2,4.2,0.3,1.9
16,Pat Connaughton\connapa01,SG,6.8,5,1.2,0.3,0.5
17,Khem Birch\birchkh01,C,7.2,6,1.3,0.7,0.7
14,Derrick Jones Jr.\jonesde02,SF,6.8,4,0.8,0.9,0.6
18,David Nwaba\nwabada01,SF,9.2,4,1.0,0.7,0.6
19,Tomáš Satoranský\satorto01,SG,7.7,2,4.7,0.2,1.7
18,Patrick Beverley\beverpa01,PG,7.5,3,2.1,0.8,0.9
17,George Hill\hillge01,PG,8.7,2,2.4,0.2,1.0
20,Ivica Zubac\zubaciv01,C,9.0,7,1.3,0.9,1.1
19,Bruce Brown\brownbr01,PG,8.8,5,1.6,0.4,0.8
12,Avery Bradley\bradlav01,SG,6.4,2,1.7,0.1,1.0
17,Desmond Bane\banede01,SG,9.2,3,1.7,0.2,0.9
18,Taurean Prince\princta02,PF,9.5,4,1.9,0.6,1.1
18,Otto Porter\porteot01,PF,8.0,5,1.7,0.0,0.0
16,Wayne Ellington\ellinwa01,SG,9.6,2,1.5,0.2,0.7
20,Lou Williams\willilo02,PG,12.1,2,3.4,0.1,1.6
18,Raul Neto\netora01,PG,8.7,2,2.3,0.1,0.8
18,Naji Marshall\marshna01,SF,7.7,5,2.8,0.3,1.2
20,DeAndre Jordan\jordade01,C,7.5,8,1.6,1.1,1.5
17,Facundo Campazzo\campafa01,PG,6.1,2,3.6,0.2,1.1
20,Nickeil Alexander-Walker\alexani01,SG,11.0,3,2.2,0.5,1.5
23,Cameron Oliver\oliveca01,SF,10.8,5,1.3,1.0,0.8
15,PJ Dozier\doziepj01,SG,7.7,4,1.8,0.4,0.9
18,Lou Williams\willilo02,PG,11.3,2,3.4,0.1,1.6
18,Kenrich Williams\willike04,PF,8.0,4,2.3,0.3,1.2
19,Otto Porter\porteot01,SF-PF,9.7,5,2.0,0.1,0.9
19,Otto Porter\porteot01,SF,9.9,6,2.0,0.2,1.0
20,Rudy Gay\gayru01,PF,11.4,5,1.4,0.6,1.0
14,Al-Farouq Aminu\aminual01,PF,5.5,5,1.7,0.5,1.5
15,Cory Joseph\josepco01,PG,6.6,2,2.5,0.2,1.0
21,Blake Griffin\griffbl01,PF,10.0,5,2.4,0.5,1.2
20,Terence Davis\daviste02,SG,11.1,3,1.7,0.3,1.3
18,James Wiseman\wisemja01,C,11.5,6,0.7,0.9,1.5
19,Isaiah Stewart\stewais01,C,7.9,7,0.9,1.3,1.0
19,Moses Brown\brownmo01,C,8.6,9,0.2,1.1,1.0
